	Cell_type	Gene	source
457	B	UBE2G1	Abbas_2005
458	B	UBE2G1	Abbas_2005
459	B	UBE2G1	Abbas_2005
460	B	UBE2J1	Abbas_2005
461	B	UBE2J1	Abbas_2005
462	B	UBE2J1	Abbas_2005
463	B	UBE2J1	Abbas_2005
464	B	UBE2J1	Abbas_2005
466	B	Ufm1	Abbas_2005
468	B	VIL2	Abbas_2005
471	B	VPREB3	Abbas_2005
472	B	WNT10A	Abbas_2005
2846	B	BANK1	Becht_2016
2847	B	CD19	Becht_2016
2848	B	CD22	Becht_2016
2849	B	CD79A	Becht_2016
2850	B	CR2	Becht_2016
2851	B	FCRL2	Becht_2016
2852	B	IGKC	Becht_2016
2853	B	MS4A1	Becht_2016
2854	B	PAX5	Becht_2016
3545	B	ABCB4	Nirmal_2018
3546	B	AFF3	Nirmal_2018
3547	B	BANK1	Nirmal_2018
3548	B	BLK	Nirmal_2018
3549	B	BTLA	Nirmal_2018
3550	B	CCR6	Nirmal_2018
3551	B	CD180	Nirmal_2018
3552	B	CD19	Nirmal_2018
3553	B	CD22	Nirmal_2018
3554	B	CD37	Nirmal_2018
3555	B	CD72	Nirmal_2018
3556	B	CD79A	Nirmal_2018
3557	B	CD79B	Nirmal_2018
3558	B	CR2	Nirmal_2018
3559	B	EBF1	Nirmal_2018
3560	B	FAM129C	Nirmal_2018
3561	B	FAM30A	Nirmal_2018
3562	B	FCRL1	Nirmal_2018
3563	B	FCRL2	Nirmal_2018
3564	B	FCRL3	Nirmal_2018
3565	B	FCRL5	Nirmal_2018
3566	B	FCRLA	Nirmal_2018
3567	B	HLA-DOA	Nirmal_2018
3568	B	HLA-DOB	Nirmal_2018
3569	B	IGHV5-78	Nirmal_2018
3570	B	LINC00926	Nirmal_2018
3571	B	LY9	Nirmal_2018
3572	B	MS4A1	Nirmal_2018
3573	B	P2RX5	Nirmal_2018
3574	B	PAX5	Nirmal_2018
3575	B	PLPP5	Nirmal_2018
3576	B	PNOC	Nirmal_2018
3577	B	POU2F2	Nirmal_2018
3578	B	RAB30	Nirmal_2018
3579	B	S1PR4	Nirmal_2018
3580	B	SCN3A	Nirmal_2018
3581	B	SNX22	Nirmal_2018
3582	B	STAP1	Nirmal_2018
3583	B	TCF4	Nirmal_2018
3584	B	TCL1A	Nirmal_2018
3585	B	TLR10	Nirmal_2018
3586	B	VPREB3	Nirmal_2018
1684	B_memory	ADAM28	Newman_2015
1685	B_memory	AIM2	Newman_2015
1686	B_memory	ALOX5	Newman_2015
1687	B_memory	BACH2	Newman_2015
1688	B_memory	BANK1	Newman_2015
1689	B_memory	BLK	Newman_2015
1690	B_memory	CCR6	Newman_2015
1691	B_memory	CD180	Newman_2015
1692	B_memory	CD19	Newman_2015
1693	B_memory	CD1C	Newman_2015
1694	B_memory	CD22	Newman_2015
1695	B_memory	CD27	Newman_2015
1696	B_memory	CD37	Newman_2015
1697	B_memory	CD69	Newman_2015
1698	B_memory	CD72	Newman_2015
1699	B_memory	CD79A	Newman_2015
1700	B_memory	CD79B	Newman_2015
1701	B_memory	CLCA3P	Newman_2015
1702	B_memory	CR2	Newman_2015
1703	B_memory	CXCR5	Newman_2015
1704	B_memory	DENND5B	Newman_2015
1705	B_memory	FCGR2B	Newman_2015
1706	B_memory	FCMR	Newman_2015
1707	B_memory	FCRL2	Newman_2015
1708	B_memory	FRK	Newman_2015
1709	B_memory	GNG7	Newman_2015
1710	B_memory	GPR18	Newman_2015
1711	B_memory	GUSBP11	Newman_2015
1712	B_memory	HHEX	Newman_2015
1713	B_memory	HLA-DOB	Newman_2015
1714	B_memory	IFNA10	Newman_2015
1715	B_memory	IGHD	Newman_2015
1716	B_memory	IGHM	Newman_2015
1717	B_memory	IGKC	Newman_2015
1718	B_memory	IGLL3P	Newman_2015
1719	B_memory	IL7	Newman_2015
1720	B_memory	IRF8	Newman_2015
1721	B_memory	LTB	Newman_2015
1722	B_memory	LY86	Newman_2015
1723	B_memory	MBL2	Newman_2015
1724	B_memory	MS4A1	Newman_2015
1725	B_memory	NMBR	Newman_2015
1726	B_memory	NPIPB15	Newman_2015
1727	B_memory	P2RX5	Newman_2015
1728	B_memory	PNOC	Newman_2015
1729	B_memory	PTPRCAP	Newman_2015
1730	B_memory	RALGPS2	Newman_2015
1731	B_memory	RASGRP2	Newman_2015
1732	B_memory	RIPOR2	Newman_2015
1733	B_memory	RUBCNL	Newman_2015
1734	B_memory	SIK1	Newman_2015
1735	B_memory	SIT1	Newman_2015
1736	B_memory	SLC12A1	Newman_2015
1737	B_memory	SP140	Newman_2015
1738	B_memory	SPIB	Newman_2015
1739	B_memory	STAP1	Newman_2015
1740	B_memory	TMEM156	Newman_2015
1741	B_memory	TNFRSF13B	Newman_2015
1742	B_memory	TNFRSF17	Newman_2015
1743	B_memory	TRAF4	Newman_2015
1744	B_memory	VPREB3	Newman_2015
1745	B_memory	ZBTB32	Newman_2015
1746	B_naive	ABCB4	Newman_2015
1747	B_naive	ADAM28	Newman_2015
1748	B_naive	BACH2	Newman_2015
1749	B_naive	BANK1	Newman_2015
1750	B_naive	BCL7A	Newman_2015
1751	B_naive	BEND5	Newman_2015
1752	B_naive	BLK	Newman_2015
1753	B_naive	BRAF	Newman_2015
1754	B_naive	CD180	Newman_2015
1755	B_naive	CD19	Newman_2015
1756	B_naive	CD1C	Newman_2015
1757	B_naive	CD22	Newman_2015
1758	B_naive	CD37	Newman_2015
1759	B_naive	CD69	Newman_2015
1760	B_naive	CD72	Newman_2015
1761	B_naive	CD79A	Newman_2015
1762	B_naive	CD79B	Newman_2015
1763	B_naive	CR2	Newman_2015
1764	B_naive	CXCR5	Newman_2015
1765	B_naive	EAF2	Newman_2015
1766	B_naive	FCER2	Newman_2015
1767	B_naive	FCGR2B	Newman_2015
1768	B_naive	FCMR	Newman_2015
1769	B_naive	FCRL2	Newman_2015
1770	B_naive	FRK	Newman_2015
1771	B_naive	GPR18	Newman_2015
1772	B_naive	GUSBP11	Newman_2015
1773	B_naive	HHEX	Newman_2015
1774	B_naive	HLA-DOB	Newman_2015
1775	B_naive	IGHD	Newman_2015
1776	B_naive	IGHM	Newman_2015
1777	B_naive	IGKC	Newman_2015
1778	B_naive	IGLL3P	Newman_2015
1779	B_naive	IL4R	Newman_2015
1780	B_naive	IRF8	Newman_2015
1781	B_naive	LINC00921	Newman_2015
1782	B_naive	LTB	Newman_2015
1783	B_naive	LY86	Newman_2015
1784	B_naive	MEP1A	Newman_2015
1785	B_naive	MICAL3	Newman_2015
1786	B_naive	MS4A1	Newman_2015
1787	B_naive	NIPSNAP3B	Newman_2015
1788	B_naive	NMBR	Newman_2015
1789	B_naive	P2RX5	Newman_2015
1790	B_naive	P2RY14	Newman_2015
1791	B_naive	PNOC	Newman_2015
1792	B_naive	PSG2	Newman_2015
1793	B_naive	PTPRCAP	Newman_2015
1794	B_naive	RALGPS2	Newman_2015
1795	B_naive	RASGRP2	Newman_2015
1796	B_naive	RUBCNL	Newman_2015
1797	B_naive	SELL	Newman_2015
1798	B_naive	SIK1	Newman_2015
1799	B_naive	SLC12A1	Newman_2015
1800	B_naive	SPIB	Newman_2015
1801	B_naive	STAP1	Newman_2015
1802	B_naive	TCL1A	Newman_2015
1803	B_naive	UGT1A8	Newman_2015
1804	B_naive	VPREB3	Newman_2015
1805	B_naive	ZNF286A	Newman_2015
1296	B	ABCB4	Bindea_2013
1297	B	BACH2	Bindea_2013
1298	B	BCL11A	Bindea_2013
1299	B	BLK	Bindea_2013
1300	B	BLNK	Bindea_2013
1301	B	CCR9	Bindea_2013
1302	B	CD19	Bindea_2013
1303	B	CD72	Bindea_2013
1304	B	COCH	Bindea_2013
1305	B	CR2	Bindea_2013
1306	B	DTNB	Bindea_2013
1307	B	FCRL2	Bindea_2013
1308	B	GLDC	Bindea_2013
1309	B	GNG7	Bindea_2013
1310	B	HLA-DOB	Bindea_2013
1311	B	HLA-DQA1	Bindea_2013
1312	B	IGHA1	Bindea_2013
1313	B	IGHG1	Bindea_2013
1314	B	IGHM	Bindea_2013
1315	B	IGKC	Bindea_2013
1316	B	IGL	Bindea_2013
1317	B	KIAA0125	Bindea_2013
1318	B	MEF2C	Bindea_2013
1319	B	MICAL3	Bindea_2013
1320	B	MS4A1	Bindea_2013
1321	B	OSBPL10	Bindea_2013
1322	B	PNOC	Bindea_2013
1323	B	QRSL1	Bindea_2013
1324	B	SCN3A	Bindea_2013
1325	B	SLC15A2	Bindea_2013
1326	B	SPIB	Bindea_2013
1327	B	TCL1A	Bindea_2013
1328	B	TNFRSF17	Bindea_2013
2933	B	CD180	Charoentong_2017
2934	B	CD79B	Charoentong_2017
2935	B	BLK	Charoentong_2017
2936	B	CD19	Charoentong_2017
2937	B	MS4A1	Charoentong_2017
2938	B	TNFRSF17	Charoentong_2017
2939	B	IGHM	Charoentong_2017
2940	B	GNG7	Charoentong_2017
2941	B	MICAL3	Charoentong_2017
2942	B	SPIB	Charoentong_2017
2943	B	HLA-DOB	Charoentong_2017
2944	B	IGKC	Charoentong_2017
2945	B	PNOC	Charoentong_2017
2946	B	FCRL2	Charoentong_2017
2947	B	BACH2	Charoentong_2017
2948	B	CR2	Charoentong_2017
2949	B	TCL1A	Charoentong_2017
2950	B	AKNA	Charoentong_2017
2951	B	ARHGAP25	Charoentong_2017
2952	B	CCL21	Charoentong_2017
2953	B	CD27	Charoentong_2017
2954	B	CD38	Charoentong_2017
2955	B	CLEC17A	Charoentong_2017
2956	B	CLEC9A	Charoentong_2017
2957	B	CLECL1	Charoentong_2017
2958	T_CD4	AIM2	Charoentong_2017
2959	T_CD4	BIRC3	Charoentong_2017
2960	T_CD4	BRIP1	Charoentong_2017
2961	T_CD4	CCL20	Charoentong_2017
2962	T_CD4	CCL4	Charoentong_2017
2963	T_CD4	CCL5	Charoentong_2017
2964	T_CD4	CCNB1	Charoentong_2017
2965	T_CD4	CCR7	Charoentong_2017
2966	T_CD4	DUSP2	Charoentong_2017
2967	T_CD4	ESCO2	Charoentong_2017
2968	T_CD4	ETS1	Charoentong_2017
2969	T_CD4	EXO1	Charoentong_2017
2970	T_CD4	EXOC6	Charoentong_2017
2971	T_CD4	IARS	Charoentong_2017
2972	T_CD4	ITK	Charoentong_2017
2973	T_CD4	KIF11	Charoentong_2017
2974	T_CD4	KNTC1	Charoentong_2017
2975	T_CD4	NUF2	Charoentong_2017
2976	T_CD4	PRC1	Charoentong_2017
2977	T_CD4	PSAT1	Charoentong_2017
2978	T_CD4	RGS1	Charoentong_2017
2979	T_CD4	RTKN2	Charoentong_2017
2980	T_CD4	SAMSN1	Charoentong_2017
2981	T_CD4	SELL	Charoentong_2017
2982	T_CD4	TRAT1	Charoentong_2017
1329	T_CD4_central_memory	AQP3	Bindea_2013
1330	T_CD4_central_memory	ATF7IP	Bindea_2013
1331	T_CD4_central_memory	ATM	Bindea_2013
1332	T_CD4_central_memory	CASP8	Bindea_2013
1333	T_CD4_central_memory	CDC14A	Bindea_2013
1334	T_CD4_central_memory	CEP68	Bindea_2013
1335	T_CD4_central_memory	CLUAP1	Bindea_2013
1336	T_CD4_central_memory	CREBZF	Bindea_2013
1337	T_CD4_central_memory	CYLD	Bindea_2013
1338	T_CD4_central_memory	DOCK9	Bindea_2013
1339	T_CD4_central_memory	FAM153B	Bindea_2013
1340	T_CD4_central_memory	FOXP1	Bindea_2013
1341	T_CD4_central_memory	FYB	Bindea_2013
1342	T_CD4_central_memory	HNRPH1	Bindea_2013
1343	T_CD4_central_memory	INPP4B	Bindea_2013
1344	T_CD4_central_memory	KLF12	Bindea_2013
1345	T_CD4_central_memory	LOC441155	Bindea_2013
1346	T_CD4_central_memory	MAP3K1	Bindea_2013
1347	T_CD4_central_memory	MLL	Bindea_2013
1348	T_CD4_central_memory	N4BP2L2-IT2	Bindea_2013
1349	T_CD4_central_memory	NEFL	Bindea_2013
1350	T_CD4_central_memory	NFATC3	Bindea_2013
1351	T_CD4_central_memory	PCM1	Bindea_2013
1352	T_CD4_central_memory	PCNX	Bindea_2013
1353	T_CD4_central_memory	PDXDC2	Bindea_2013
1354	T_CD4_central_memory	PHC3	Bindea_2013
1355	T_CD4_central_memory	POLR2J2	Bindea_2013
1356	T_CD4_central_memory	PSPC1	Bindea_2013
1357	T_CD4_central_memory	REPS1	Bindea_2013
1358	T_CD4_central_memory	RPP38	Bindea_2013
1359	T_CD4_central_memory	SLC7A6	Bindea_2013
1360	T_CD4_central_memory	SNRPN	Bindea_2013
1361	T_CD4_central_memory	ST3GAL1	Bindea_2013
1362	T_CD4_central_memory	STX16	Bindea_2013
1363	T_CD4_central_memory	TIMM8A	Bindea_2013
1364	T_CD4_central_memory	TRAF3IP3	Bindea_2013
1365	T_CD4_central_memory	TXK	Bindea_2013
1366	T_CD4_central_memory	TXLNGY	Bindea_2013
1367	T_CD4_central_memory	USP9Y	Bindea_2013
2983	T_CD4_central_memory	ABHD3	Charoentong_2017
2984	T_CD4_central_memory	AHNAK	Charoentong_2017
2985	T_CD4_central_memory	ANXA2P2	Charoentong_2017
2986	T_CD4_central_memory	AQP3	Charoentong_2017
2987	T_CD4_central_memory	ATHL1	Charoentong_2017
2988	T_CD4_central_memory	BMI1	Charoentong_2017
2989	T_CD4_central_memory	BZW2	Charoentong_2017
2990	T_CD4_central_memory	CD63	Charoentong_2017
2991	T_CD4_central_memory	COL4A1	Charoentong_2017
2992	T_CD4_central_memory	CYLD	Charoentong_2017
2993	T_CD4_central_memory	ELMO2	Charoentong_2017
2994	T_CD4_central_memory	FYN	Charoentong_2017
2995	T_CD4_central_memory	GLIPR1	Charoentong_2017
2996	T_CD4_central_memory	GSS	Charoentong_2017
2997	T_CD4_central_memory	IFITM2	Charoentong_2017
2998	T_CD4_central_memory	ITGB1	Charoentong_2017
2999	T_CD4_central_memory	ITGB2	Charoentong_2017
3000	T_CD4_central_memory	KLF5	Charoentong_2017
3001	T_CD4_central_memory	LSP1	Charoentong_2017
3002	T_CD4_central_memory	NDUFB9	Charoentong_2017
3003	T_CD4_central_memory	PKM2	Charoentong_2017
3004	T_CD4_central_memory	SFXN3	Charoentong_2017
3005	T_CD4_central_memory	SIRPG	Charoentong_2017
3006	T_CD4_central_memory	SMAD4	Charoentong_2017
3007	T_CD4_central_memory	STX4	Charoentong_2017
3008	T_CD4_central_memory	TRADD	Charoentong_2017
3009	T_CD4_central_memory	VIM	Charoentong_2017
3010	T_CD4_central_memory	XRCC6	Charoentong_2017
1368	T_CD4_effector_memory	AKT3	Bindea_2013
1369	T_CD4_effector_memory	C7orf54	Bindea_2013
1370	T_CD4_effector_memory	CCR2	Bindea_2013
1371	T_CD4_effector_memory	DDX17	Bindea_2013
1372	T_CD4_effector_memory	EWSR1	Bindea_2013
1373	T_CD4_effector_memory	FLI1	Bindea_2013
1374	T_CD4_effector_memory	GDPD5	Bindea_2013
1375	T_CD4_effector_memory	LTK	Bindea_2013
1376	T_CD4_effector_memory	MEFV	Bindea_2013
1377	T_CD4_effector_memory	NFATC4	Bindea_2013
1378	T_CD4_effector_memory	PRKY	Bindea_2013
1379	T_CD4_effector_memory	TBC1D5	Bindea_2013
1380	T_CD4_effector_memory	TBCD	Bindea_2013
1381	T_CD4_effector_memory	TRA	Bindea_2013
1382	T_CD4_effector_memory	VIL2	Bindea_2013
3011	T_CD4_effector_memory	ATM	Charoentong_2017
3012	T_CD4_effector_memory	CASP3	Charoentong_2017
3013	T_CD4_effector_memory	CASQ1	Charoentong_2017
3014	T_CD4_effector_memory	CD300E	Charoentong_2017
3015	T_CD4_effector_memory	DARS	Charoentong_2017
3016	T_CD4_effector_memory	DOCK9	Charoentong_2017
3017	T_CD4_effector_memory	EXOSC9	Charoentong_2017
3018	T_CD4_effector_memory	EZH2	Charoentong_2017
3019	T_CD4_effector_memory	GDE1	Charoentong_2017
3020	T_CD4_effector_memory	IL34	Charoentong_2017
3021	T_CD4_effector_memory	NCOA4	Charoentong_2017
3022	T_CD4_effector_memory	NEFL	Charoentong_2017
3023	T_CD4_effector_memory	PDGFRL	Charoentong_2017
3024	T_CD4_effector_memory	PTGS1	Charoentong_2017
3025	T_CD4_effector_memory	REPS1	Charoentong_2017
3026	T_CD4_effector_memory	SCG2	Charoentong_2017
3027	T_CD4_effector_memory	SDPR	Charoentong_2017
3028	T_CD4_effector_memory	SIGLEC14	Charoentong_2017
3029	T_CD4_effector_memory	SIGLEC6	Charoentong_2017
3030	T_CD4_effector_memory	TAL1	Charoentong_2017
3031	T_CD4_effector_memory	TFEC	Charoentong_2017
3032	T_CD4_effector_memory	TIPIN	Charoentong_2017
3033	T_CD4_effector_memory	TPK1	Charoentong_2017
3034	T_CD4_effector_memory	UQCRB	Charoentong_2017
3035	T_CD4_effector_memory	USP9Y	Charoentong_2017
3036	T_CD4_effector_memory	WIPF1	Charoentong_2017
3037	T_CD4_effector_memory	ZCRB1	Charoentong_2017
2838	T_CD8	CD8B	Becht_2016
1383	T_CD8	ABT1	Bindea_2013
1384	T_CD8	AES	Bindea_2013
1385	T_CD8	APBA2	Bindea_2013
1386	T_CD8	ARHGAP8	Bindea_2013
1387	T_CD8	C12orf47	Bindea_2013
1388	T_CD8	C19orf6	Bindea_2013
1389	T_CD8	C4orf15	Bindea_2013
1390	T_CD8	CAMLG	Bindea_2013
1391	T_CD8	CD8A	Bindea_2013
1392	T_CD8	CD8B	Bindea_2013
1393	T_CD8	CDKN2AIP	Bindea_2013
1394	T_CD8	DNAJB1	Bindea_2013
1395	T_CD8	FLT3LG	Bindea_2013
1396	T_CD8	GADD45A	Bindea_2013
1397	T_CD8	GZMM	Bindea_2013
1398	T_CD8	KLF9	Bindea_2013
1399	T_CD8	LEPROTL1	Bindea_2013
1400	T_CD8	LIME1	Bindea_2013
1401	T_CD8	MYST3	Bindea_2013
1402	T_CD8	PF4	Bindea_2013
1403	T_CD8	PPP1R2	Bindea_2013
1404	T_CD8	PRF1	Bindea_2013
1405	T_CD8	PRR5	Bindea_2013
1406	T_CD8	RBM3	Bindea_2013
1407	T_CD8	SF1	Bindea_2013
1408	T_CD8	SFRS7	Bindea_2013
1409	T_CD8	SLC16A7	Bindea_2013
1410	T_CD8	TBCC	Bindea_2013
1411	T_CD8	THUMPD1	Bindea_2013
1412	T_CD8	TMC6	Bindea_2013
1413	T_CD8	TSC22D3	Bindea_2013
1414	T_CD8	VAMP2	Bindea_2013
1415	T_CD8	ZEB1	Bindea_2013
